num_distr,mouse.time,,,,
5,1.4825426,,,,
5,2.263603,,,,
5,1.3546987,,,,
5,1.7860529,,,,
5,1.3091039,,,SET SIZE 5,1.779244653
5,2.3737368,,,SET SIZE 10,2.081293664
5,1.8895051,,,,
5,1.9436611,,,,
5,1.3747804,,,,
5,1.2425774,,,,
5,2.1514745,,,,
5,1.7310877,,,,
5,2.2486759,,,,
5,1.6067475,,,,
5,1.7440498,,,,
5,2.0097619,,,,
5,1.8603312,,,,
5,2.1774845,,,,
5,1.4242073,,,,
5,1.4747376,,,,
5,2.1409838,,,,
5,1.1618885,,,,
5,1.2899063,,,,
5,1.2249729,,,,
5,1.4091327,,,,
5,1.4784289,,,,
5,1.7573137,,,,
5,1.1070683,,,,
5,1.3271263,,,,
5,1.2514647,,,,
5,1.3258646,,,,
5,1.1345548,,,,
5,2.4702925,,,,
5,1.3344241,,,,
5,1.6208671,,,,
5,1.4960535,,,,
5,1.2295527,,,,
5,2.7613329,,,,
5,2.260516,,,,
5,1.3886083,,,,
5,2.2757065,,,,
5,1.8933375,,,,
5,1.5094638,,,,
5,1.7902329,,,,
5,2.5923446,,,,
5,2.321849,,,,
5,2.4569895,,,,
5,2.1109302,,,,
5,2.0591604,,,,
5,2.8875861,,,,
5,1.4103987,,,,
5,1.7145862,,,,
5,1.0601254,,,,
5,2.314833,,,,
5,1.5137606,,,,
5,1.4616814,,,,
5,1.1255137,,,,
5,1.4942568,,,,
5,0.7115988,,,,
5,1.7728309,,,,
5,1.0955545,,,,
5,1.8723922,,,,
5,1.5553162,,,,
5,1.4506289,,,,
5,1.8245302,,,,
5,2.0413556,,,,
5,1.6925036,,,,
5,1.5948896,,,,
5,1.526575,,,,
5,1.8930883,,,,
5,1.2285033,,,,
5,1.8662761,,,,
5,1.2427656,,,,
5,2.5554264,,,,
5,1.6613318,,,,
5,1.9910206,,,,
5,2.3599842,,,,
5,2.0445807,,,,
5,2.2354598,,,,
5,1.4311018,,,,
5,1.7441157,,,,
5,1.25778,,,,
5,1.54847,,,,
5,2.0515966,,,,
5,1.6341253,,,,
5,2.5219418,,,,
5,1.043552,,,,
5,1.5952707,,,,
5,1.563144,,,,
5,1.3404626,,,,
5,1.8292283,,,,
5,1.4440565,,,,
5,1.7755549,,,,
5,1.2932789,,,,
5,1.3944991,,,,
5,1.9446726,,,,
5,2.5229981,,,,
5,1.2301362,,,,
5,1.0081303,,,,
5,0.8753877,,,,
5,0.712173,,,,
5,0.605126,,,,
5,1.2611291,,,,
5,1.7067927,,,,
5,1.4774641,,,,
5,1.2772969,,,,
5,3.2169392,,,,
5,1.192509,,,,
5,2.0576855,,,,
5,2.0086147,,,,
5,2.9069416,,,,
5,1.7966723,,,,
5,1.3293011,,,,
5,1.6326506,,,,
5,1.6989915,,,,
5,1.5990789,,,,
5,1.2007551,,,,
5,2.3497842,,,,
5,1.7139016,,,,
5,1.1336297,,,,
